catalogNumber,recordedBy,individualCount,lifeStage,preparations,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,scientificName,eventId,eventDate,beginDate,endDate,verbatimEventDate,continent,country,stateProvince,locality,latitude,longitude,verbatimLatitude,verbatimLongitude,samplingProtocol,eventRemarks
ROME205220,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,dacotenis,"(Dyar & Shannon, 1927)","Cnephia dacotenis (Dyar & Shannon, 1927)",ROM002010272,2010-07-03,2010-07-03,2010-07-03,3 Jul 2010,North America,Canada,Manitoba,Ramsay Creek at outlet of Ramsay Lake,58.7288167,-93.7832667,58°43.729'N,93°46.996'W,Aquatic,
ROME205221,P. Schaefer,30,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011165,2011-06-08,2011-06-08,2011-06-08,8 Jun 2011,North America,Canada,Northwest Territories,"30cm Lake Outflow, km50 of Ingraham Trail",62.5262667,-113.8377167,62°31.576'N,113°50.263'W,General,
ROME205222,P. Schaefer,4,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011167,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"2m brown water creek at crossing with Hwy.3, 15km west of Yellowknife",62.4764167,-114.97095,62°28.585'N,114°58.257'W,General,
ROME205223,P. Schaefer,8,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011169,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"Beaver Pond Outflow, at crossing with Hwy.3, 28km west of Yellowknife",62.5245667,-115.2060667,62°31.474'N,115°12.364'W,General,
ROME205224,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011172,2011-06-12,2011-06-12,2011-06-12,12 Jun 2011,North America,Canada,Northwest Territories,Hill Creek at crossing with Hwy.4,62.73565,-115.6958333,62°44.139'N,115°41.75'W,General,
ROME205225,P. Schaefer,60,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011186,2011-07-08,2011-07-08,2011-07-08,8 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond Outflow along DEW Line Rd",69.1580167,-105.1911667,69°9.481'N,105°11.47'W,General,
ROME205226,P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011190,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small pond outflow on West Arm",69.0993167,-105.2226833,69°5.959'N,105°13.361'W,General,
ROME205227,P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011191,2011-07-12,2011-07-12,2011-07-12,12 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Ice melt flow into ocean along beach E. town",69.08735,-104.9389167,69°5.241'N,104°56.335'W,General,
ROME205228,P. Schaefer,150,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011192,2011-07-13,2011-07-13,2011-07-13,13 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Small ice melt stream into ocean next to large river west of town",69.1448667,-105.4879333,69°8.692'N,105°29.276'W,General,
ROME205229,P. Schaefer,300,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011196,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond outflow 1km west of town, near golf course",69.1115833,-105.0882333,69°6.695'N,105°5.294'W,General,
ROME205230,P. Schaefer,60,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011197,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond outflow on DEW Line Rd",69.1950667,-105.2076,69°11.704'N,105°12.456'W,General,
ROME205231,P. Schaefer,300,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011198,2011-07-16,2011-07-16,2011-07-16,16 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond outflow on DEW Line Rd, on NW side DEW Line station",69.1193833,-105.1277667,69°7.163'N,105°7.666'W,General,
ROME205232,P. Schaefer,30,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011201,2011-07-17,2011-07-17,2011-07-17,17 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Pond outflow E. Old Town",69.1253,-104.9993833,69°7.518'N,104°59.963'W,General,
ROME205233,P. Schaefer,200,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002011203,2011-07-17,2011-07-17,2011-07-17,17 Jul 2011,North America,Canada,Nunavut,"Cambridge Bay, Roadside trickle west of town just before Western Arm",69.1075833,-105.2288833,69°6.455'N,105°13.733'W,General,
ROME205234,Doug Currie; P. Schaefer,6,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012200,2012-07-22,2012-07-22,2012-07-22,22 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 0.75m wide, warm pond outflow immediately E. twin bridges",69.1254833,-104.9987333,69°7.529'N,104°59.924'W,Aquatic,"Site 1:  warm clear water, rock and veg substrate, med flow, 11°C."
ROME205235,Doug Currie; P. Schaefer,15,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012203,2012-07-23,2012-07-23,2012-07-23,23 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 8m wide stream between 2 ponds",69.1787,-104.82325,69°10.722'N,104°49.395'W,Aquatic,"Site 5:  100m long, moderate flow, highly productive, 13°C"
ROME205236,Doug Currie; P. Schaefer,100,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012207,2012-07-24,2012-07-24,2012-07-24,24 Jul 2012,North America,Canada,Nunavut,"1m wide pond outflow 1 km west of Cambridge Bay, near golf course",69.1112667,-105.0880667,69°6.676'N,105°5.284'W,Aquatic,"Site 9: clear water, very productive, moderate flow, rock and veg substrate, 16°C"
ROME205237,Doug Currie; P. Schaefer,30,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012208,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 1.0-1.5m wide outlet tundra pond near DEW line station",69.1195,-105.1278,69°7.17'N,105°7.668'W,Aquatic,"Site 10:  clear water, slow to moderate flow, rock and veg substrate, 12°C"
ROME205238,Doug Currie; P. Schaefer,2,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012209,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 6m wide tundra pond outlet along DEW line road",69.1581667,-105.19165,69°9.49'N,105°11.499'W,Aquatic,"Site 11:  100m long, clear, fast water, rock and veg substrate, 13°C"
ROME205239,Doug Currie; P. Schaefer,6,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012210,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 1m wide outlet to tundra pond",69.1949167,-105.2075167,69°11.695'N,105°12.451'W,Aquatic,"Site 12:  clear water, moderate flow, mostly grass some rock substrate, 13°C"
ROME205240,Doug Currie; P. Schaefer,50,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012211,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 2m wide stream between two tundra ponds",69.2194833,-105.2163333,69°13.169'N,105°12.98'W,Aquatic,"Site 13:  clear, moderate flow, grass and rock substrate, 13°C"
ROME205241,Doug Currie; P. Schaefer,1,Exuviae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012217,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,1-2m wide inflow into Byron Bay,68.9448667,-108.5352167,68°56.692'N,108°32.113'W,Aquatic,"Site 19:  Clear, moderate flow, rock and grass substrate, 10°C"
ROME205242,Doug Currie; P. Schaefer,30,Exuviae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012214,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,2-4m wide inflow to Mad Dog Lake,69.3639,-108.75045,69°21.834'N,108°45.027'W,Aquatic,"Site 16:  tumbling stream, clear water, fast flow, mostly rock substrate, 10°C"
ROME205243,Doug Currie; P. Schaefer,6,Larvae; Exuviae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012218,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,0.5m wide pond outlet,69.7703,-108.15835,69°46.218'N,108°9.501'W,Aquatic,Site 20
ROME205244,,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012201,2012-07-23,2012-07-23,2012-07-23,23 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 12-15m wide inlet to Grenier Lake",69.2052833,-104.7778,69°12.317'N,104°46.668'W,Aquatic,"Site 3:  clear, rocky substrate, fast flow, 12°C"
ROME205245,Doug Currie; P. Schaefer,4,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012223,2012-07-29,2012-07-29,2012-07-29,29 Jul 2012,North America,Canada,Nunavut,0.2m wide small lake inlet,69.8309,-105.7602167,69°49.854'N,105°45.613'W,Aquatic,"Site 25:  clear water, grassy substrate, slow to moderate flow, 7°C"
ROME205246,Doug Currie; P. Schaefer,1,Exuviae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012230,2012-07-31,2012-07-31,2012-07-31,31 Jul 2012,North America,Canada,Nunavut,4m wide inflow to Merkly Lake,69.8154833,-108.0124833,69°48.929'N,108°0.749'W,Aquatic,"Site 32:  rocky bottom stream, moderate flow, clear water, very productive, larvae mostly on trailing grass, some rock, 10°C"
ROME205247,Doug Currie; P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012231,2012-07-31,2012-07-31,2012-07-31,31 Jul 2012,North America,Canada,Nunavut,1-2m wide inflow to Merkly Lake near the Narrows,69.72455,-107.5165,69°43.473'N,107°30.99'W,Aquatic,"Site 33:  silty, moderate flow, silty water, very productive, larvae mostly on trailing grass, 11°C"
ROME205248,Doug Currie; P. Schaefer,3,Larvae; Exuviae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Cnephia,eremites,"Shewell, 1952","Cnephia eremites Shewell, 1952",ROM002012236,2012-08-01,2012-08-01,2012-08-01,1 Aug 2012,North America,Canada,Nunavut,0.1-0.2m wide trickle through grass,69.5426833,-103.2942167,69°32.561'N,103°17.653'W,Aquatic,"Site 38:  moderate flow, very deep, brown water, grass substrate"
ROME205250,P. Schaefer,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Gymnopais,holopticoides,"Wood, 1978","Gymnopais holopticoides Wood, 1978",ROM002010227,2010-07-18,2010-07-18,2010-07-18,18 Jul 2010,North America,Canada,Nunavut,"Airport Cr near end of Upperbase Rd, 5m str",63.7905333,-68.5673667,63°47.432'N,68°34.042'W,,
ROME205251,P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Gymnopais,holopticoides,"Wood, 1978","Gymnopais holopticoides Wood, 1978",ROM002010230,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Trickle originating from snow melt at end of Upperbase road, 50-100mm stream",63.7934833,-68.56625,63°47.609'N,68°33.975'W,,
ROME205252,P. Schaefer,20,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Gymnopais,holopticoides,"Wood, 1978","Gymnopais holopticoides Wood, 1978",ROM002010232,2010-07-19,2010-07-19,2010-07-19,19 Jul 2010,North America,Canada,Nunavut,"Trib of Airport Cr. At Upperbase road, 50cm stream",63.7904833,-68.5654833,63°47.429'N,68°33.929'W,,
ROME205253,Doug Currie; P. Schaefer,100,Larvae; Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Gymnopais,holopticoides,"Wood, 1978","Gymnopais holopticoides Wood, 1978",ROM002012228,2012-07-30,2012-07-30,2012-07-30,30 Jul 2012,North America,Canada,Nunavut,0.5-1m wide snowmelt stream at confluence with Hadley Bay,71.7359333,-108.2235667,71°44.156'N,108°13.414'W,Aquatic,Site 30:  slow flow rocky substrate
ROME205254,P. Schaefer,50,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,decemarticulatus,"(Twinn, 1936)","Helodon decemarticulatus (Twinn, 1936)",ROM002011170,2011-06-11,2011-06-11,2011-06-11,11 Jun 2011,North America,Canada,Northwest Territories,"Small wooded creek, E. Prosperous Lake",62.5388167,-114.1397167,62°32.329'N,114°8.383'W,General,
ROME205255,P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,decemarticulatus,"(Twinn, 1936)","Helodon decemarticulatus (Twinn, 1936)",ROM002011171,2011-06-12,2011-06-12,2011-06-12,12 Jun 2011,North America,Canada,Northwest Territories,Stagg River at crossing with Hwy.4,62.7434667,-115.7254333,62°44.608'N,115°43.526'W,General,
ROME205256,P. Schaefer,20,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,decemarticulatus,"(Twinn, 1936)","Helodon decemarticulatus (Twinn, 1936)",ROM002011173,2011-06-14,2011-06-14,2011-06-14,14 Jun 2011,North America,Canada,Northwest Territories,Slow trickle through grass off Ingraham Trail at km58,62.5159167,-113.3914667,62°30.955'N,113°23.488'W,General,
ROME205257,P. Schaefer,10,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,gibsoni,"(Twinn, 1936)","Helodon gibsoni (Twinn, 1936)",ROM002011167,2011-06-09,2011-06-09,2011-06-09,9 Jun 2011,North America,Canada,Northwest Territories,"2m brown water creek at crossing with Hwy.3, 15km west of Yellowknife",62.4764167,-114.97095,62°28.585'N,114°58.257'W,General,
ROME205258,Doug Currie; P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012204,2012-07-24,2012-07-24,2012-07-24,24 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 10m wide well flowing stream, west of town",69.1320333,-105.4750667,69°7.922'N,105°28.504'W,Aquatic,"Site 6:  clear water, fast flow, mostly rock and some grass substrate 12°C"
ROME205259,Doug Currie; P. Schaefer,1,Pupae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012209,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 6m wide tundra pond outlet along DEW line road",69.1581667,-105.19165,69°9.49'N,105°11.499'W,Aquatic,"Site 11:  100m long, clear, fast water, rock and veg substrate, 13°C"
ROME205260,Doug Currie; P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012211,2012-07-25,2012-07-25,2012-07-25,25 Jul 2012,North America,Canada,Nunavut,"Cambridge Bay, 2m wide stream between two tundra ponds",69.2194833,-105.2163333,69°13.169'N,105°12.98'W,Aquatic,"Site 13:  clear, moderate flow, grass and rock substrate, 13°C"
ROME205261,Doug Currie; P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012214,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,2-4m wide inflow to Mad Dog Lake,69.3639,-108.75045,69°21.834'N,108°45.027'W,Aquatic,"Site 16:  tumbling stream, clear water, fast flow, mostly rock substrate, 10°C"
ROME205262,Doug Currie; P. Schaefer,30,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012215,2012-07-27,2012-07-27,2012-07-27,27 Jul 2012,North America,Canada,Nunavut,20m wide inflow to Mad Dog Lake,69.3598,-108.7579,69°21.588'N,108°45.474'W,Aquatic,"Site 17:  tumbling river, clear moderate flow, mostly rock substrate"
ROME205263,Doug Currie; P. Schaefer,1,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012218,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,0.5m wide pond outlet,69.7703,-108.15835,69°46.218'N,108°9.501'W,Aquatic,Site 20
ROME205264,Doug Currie; P. Schaefer,100,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012219,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,"60m wide rapid, flowing river",69.808,-108.5586667,69°48.48'N,108°33.52'W,Aquatic,Site 21
ROME205265,Doug Currie; P. Schaefer,2,Larvae,Fluid,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,Helodon,irkutensis,"(Rubtsov, 1956)","Helodon irkutensis (Rubtsov, 1956)",ROM002012221,2012-07-28,2012-07-28,2012-07-28,28 Jul 2012,North America,Canada,Nunavut,100m wide river between West and Merkley Lakes,69.7790167,-108.09745,69°46.741'N,108°5.847'W,Aquatic,"Site 23:  wide, fast flow"
