Sample,Date set,Date collected,Collector,Site,Sample type collection method,Lat,Long,Elevation (m),Habitat type,Sample current location,Notes,SHIPPING INFO,Specimen Count,OWNER,,,,
KGLTK0037,08-Aug,14-Aug,"B. Taptuna, D. Hokanak",on 4 mile trail by a pod,Malaise trap,67 49. 3982,67.8233,115 09. 0268,-115.15,10m,CBG,,Shipped Aug 15 - 0690368500089220,10:55 AM,11:50 AM,KAA,1 mosquito ,
KGLTK0038,08-Aug,08-Aug,"B. Taptuna, D. Hokanak",open feild above water intake,SweepNet,67 49.4941,67.8249,115 05. 3924,-115.09,0m,CBG,,Shipped Aug 15 - 0690368500089220,1:45 PM,1:50 PM,KAA,0?,
KGLTK0039,12-Aug,12-Aug,B. Taptuna,below RCMP Station,DipNet,67 49. 7318,67.82886,115 06. 1199,-115.102,-16m,CBG,,Shipped Aug 15 - 0690368500089220,2:55 PM,3:10 PM,KAA,0,
KGLTK0040,12-Aug,12-Aug,B. Tatpuna,by water plant,SurberNet,67 49. 3538,67.82256,115 05. 5241,-115.092,0m,CBG,,Shipped Aug 15 - 0690368500089220,2:15 PM,3:20 PM,KAA,0,
KGLTK0041,14-Aug,21-Aug,"B. Taptuna, D. Hokanak",on 4 mile trail by a pod,Malaise trap,67 49.3928,67.82321,115 09 .0264,-115.15,14m,CBG,,Shipped Aug 15 - 0690368500089220,11:50 AM,1:30 PM,KAA,2 black flies,
KGLTK0042,14-Aug,23-Aug,"B. Taptuna, D. Hokanak",4 Mile Bay,Malaise trap,67 49. 7352,67.82892,115 06.1291,-115.102,om,CBG,brought the net back,Shipped Aug 15 - 0690368500089220,11:30,11:30 AM,KAA,"1 mosquito, 4 black flies",
KGLTK0043,14-Aug,21-Aug,"B. Taptuna, D. Hokanak",other side of Heart Lake,Malaise trap,67 48. 2875,67.80479,115 13. 8722,-115.231,56m,CBG,,Shipped Aug 15 - 0690368500089220,1:30 PM,14:15,KAA,"1 mosquito, 3 black flies ",
KGLTK0044,14-Aug,21-Aug,"B. Taptuna, D. Hokanak",behind town,Malaise trap,67 48. 5976,67.80996,115 07. 5319,-115.126,9m,CBG,,Shipped Aug 15 - 0690368500089220,2:10 PM,2:45 PM,KAA,0,
KGLTK0045,16-Aug,16-Aug,"B. Taptuna, D. Hokanak",behind horse shoe,SweepNet,67 48. 5963,67.80994,115 07. 5445,-115.126,0m,HTO,,,10:47 AM,10:51 AM,KAA,3 black flies ,
KGLTK0046,16-Aug,16-Aug,"B. Taptuna, D. Hokanak",by barge dock ,DipNet,67 49. 4125,67.82354,115 08. 8634,-115.148,21m,HTO,,,1:45 PM,1:55 PM,KAA,,
KGLTK0047,21-Aug,29-Aug,"B. Taptuna, D. Hokanak",other side of Heart Lake,Malaise trap,67 48. 2815,67.80469,115 13. 8729,-115.231,33m,HTO,Brought back the Malaise Trap,,2:15 PM,2:30 PM,KAA,3 black flies,
KGLTK0048,21-Aug,29-Aug,"B. Taptuna, D. Hokanak",on 4 mile trail by a pod,Malaise trap,67 49. 4149,67.82358,115 08. 8729,-115.148,0m,HTO,Brought back the Malaise Trap,,1:30 PM,1:30 PM,KAA,2 black flies,double check sample
KGLTK0049,21-Aug,29-Aug,"B. Taptuna, D. Hokanak",behind town,Malaise trap,67 48. 5983,67.80997,115 07. 5311,-115.126,12m,HTO,Brought back the Malaise Trap,,2:45 PM,3:10 PM,KAA,4 black flies,
